Condition Name,Condition Code,Category
Acanthamoeba,49649001,Waterborne (not enteric)
Acute Flaccid Myelitis (AFM),897031002,Neurological Diseases
Agricultural Chemicals (Fertilizer) Poisoning,216809001,Toxic Effects of Non-Medicinal Substances
Alpha-gal Syndrome,788781001,Vectorborne Diseases
Amebiasis,388759003,Enteric Diseases
Anaplasmosis,13906002,Vectorborne Diseases
Anencephaly,89369001,Birth Defects and Infant Disorders
Angiostrongyliasis ,61750000,Zoonotic Diseases
Animal Bite Injury,399907009,"Injuries, NEC"
Anthrax,409498004,Zoonotic Diseases
Arboviral Disease [Other],40610006,Vectorborne Diseases
Arsenic Exposure and Toxicity,767146004,Toxic Effects of Non-Medicinal Substances
Asbestosis,22607003,Respiratory Conditions (non-infectious)
Atrioventricular septal defect (Endocardial cushion defect),1237074000,Birth Defects and Infant Disorders
Babesiosis,21061004,Vectorborne Diseases
Balamuthia mandrillaris Disease,115635005,Waterborne (not enteric)
Bartonellosis,266123003,Vectorborne Diseases
Baylisascariasis,93614002,Zoonotic Diseases
Blastomycosis,69996000,Respiratory Conditions (Infectious)
Botulism,398565003,Toxic Effects of Non-Medicinal Substances
"Botulism, Infant",414488002,Toxic Effects of Non-Medicinal Substances
Brucellosis,75702008,Zoonotic Diseases
Byssinosis,85761009,Respiratory Conditions (non-infectious)
Cadmium Exposure and Toxicity ,3398004,Toxic Effects of Non-Medicinal Substances
California Serogroup Virus Disease,418182000,Vectorborne Diseases
Campylobacteriosis,86500004,Enteric Diseases
Cancer,363346000,Cancer
Candida auris infection,865929003,Healthcare-Associated Events
Carbapenem-resistant Acinetobacter baumannii (CRAB),715174007,Healthcare-Associated Events
Carbapenem-resistant Enterobacteriaceae (CRE),712662001,Healthcare-Associated Events
Carbapenem-resistant Pseudomonas aeruginosa (CRPA),726492000,Healthcare-Associated Events
Carbapenemase-Producing Organisms (CPO),734350003,Healthcare-Associated Events
Carbon Monoxide Poisoning,17383000,Toxic Effects of Non-Medicinal Substances
Catheter-associated Urinary Tract Infection (CAUTI),700372006,Healthcare-Associated Events
Central Line-associated Bloodstream Infection (CLABSI),736152001,Healthcare-Associated Events
Chagas Disease,77506005,Vectorborne Diseases
Chancroid,266143009,Sexually Transmitted Diseases
Chemical Pneumonitis,233733000,Respiratory Conditions (non-infectious)
